name,office,organisation,sector,rank,source_url
James Ochaya,Deputy Inspector General of Police,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Tom Magambo Rwabudongo,Director Criminal Investigations,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
John Nuwagira,Director Field Force Unit,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Erasmus Twaruhuukwa,Director Research and Planning,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Fadhil Kaali,Director Fire and Rescue Services,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
David Waswa,Director Counter Terrorism,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Moses Kafeero,Director Human Resource Development and Training,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Frank Mwesigwa,Director Operations,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Charles Kataratambi,Director Human Rights and Legal Services,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Ubaldo Bamunoba,Chief Political Commissar,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Felix Baryamwisaki,Director ICT,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
Flavian Zeija,Chief Justice,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/dr-flavian-zeija-is-ugandas-new-chief-justice/
Moses Kawumi Kazibwe,Deputy Chief Justice,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/who-is-the-newly-appointed-deputy-chief-justice/
Alfonse Owiny-Dollo,Chief Justice until 2026,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/dr-flavian-zeija-is-ugandas-new-chief-justice/
Paul Ssemogerere,Archbishop of Kampala,Catholic Archdiocese of Kampala,religion,chief,https://www.independent.co.ug/bishop-ssemogerere-is-the-new-archbishop-of-kampala-archdiocese/
Stephen Kaziimba,Archbishop of the Church of Uganda,Church of Uganda,religion,chief,https://www.independent.co.ug/bishop-ssemogerere-is-the-new-archbishop-of-kampala-archdiocese/
Shaban Ramadhan Mubaje,Mufti of Uganda,Uganda Muslim Supreme Council,religion,chief,https://www.independent.co.ug/seventy-year-old-sheikh-mubaje-re-elected-as-mufti-of-uganda/
Kin Kariisa,Group Chief Executive Officer,Next Media Services,media,chief,https://kinkariisa.com/
Don Wanyama,Chief Executive Officer,Vision Group,media,chief,https://www.monitor.co.ug/uganda/news/national/don-wanyama-appointed-vision-group-ceo-3360434
Moses Magogo,President,Federation of Uganda Football Associations,sport,chief,https://www.independent.co.ug/magogo-re-elected-unopposed-for-third-term-as-fufa-president/
Michael Nkambo Mugerwa,"General Manager, Uganda Refinery Holding Company",Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
John Bosco Habumugisha,"General Manager, National Pipeline Company",Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Philips Obita,General Manager Upstream,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Peter Muliisa,Chief Legal Officer and Company Secretary,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Gilbert Kamuntu,Chief Commercial Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Emmanuel Mugagga,Chief Financial and Administrative Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Tony Otoa,Chief Corporate Affairs Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Charles Mbire,Chairperson,MTN Uganda,telecom,chief,https://www.mtn.co.ug/leadership/
Andrew Bugembe,Chief Financial Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Phrase Lubega,"Managing Director, MTN Mobile Money Uganda",MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Thomas Motlepa,Chief Technical Information Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Francis Kamulegeya,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
John Musinguzi Rujoki,Commissioner General,Uganda Revenue Authority,government,chief,https://ura.go.ug/en/senior-management-team/
Abel Kagumire,Commissioner Executive Office Operations,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Richard Kariisa,Commissioner Corporate Services,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Denis Kugonza Kateeba,Commissioner Domestic Taxes,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Herbert Rusoke,Commissioner Internal Audit,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Robert Mutebi,Commissioner Information Technology and Innovation,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Charles Kasozi Kizito,Commissioner Strategy and Risk Management,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
John Tinka Katungwensi,Commissioner Tax Academy,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
