qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q138161330,Sarah Nanyonga,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q138161350,Sarah Tumwine,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q116604844,Beatrice Amongi Lagada,Uganda politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q138161355,Janet Kyaligonza,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q138161346,Prossy Katusiime,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q138161342,Ruth Namutaawe,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q138161340,Sarah Nabirye,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q116605534,Silvia Akello,Uganda politician,Parliament,Member of Parliament of Uganda,0,7,,,yes
Q138161351,,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,6,,,yes
Q138161357,Grace Nyakato,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,6,,,yes
Q138161332,Resty Nanyonga,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,6,,,yes
Q136682587,Grace Aulo Mbabazi,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,4,,,yes
Q136682588,Janat Akorimoe Akech,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,4,,,yes
Q141265972,Kedrace R. Turyagyenda,Ugandan secretary,Public service,permanent secretary,0,12,,,yes
Q137988579,Rose Kirabira,Ugandan politician,Public service,Resident District Commissioner,0,12,,,yes
Q141164106,Catherine Bitarakwate,"Ugandan public administrator and Permanent Secretary, Ministry of Public Service",Public service,permanent secretary,0,10,,,yes
Q141173520,Dorcas Wagima Okalany,Ugandan civil servant,Public service,permanent secretary,0,10,,,yes
Q138819593,Hellen Seku,Ugandan commissioner,Public service,commissioner,0,10,,,yes
Q141169247,Doreen Katusiime,Ugandan civil servant,Public service,permanent secretary,0,9,,,yes
Q141266061,Deborah Kyarasiime,Ugandan trade specialist,Public service,commissioner,0,8,,,yes
Q141174487,Edith Nsajja Mwanje,Ugandan civil servant,Public service,permanent secretary,0,7,,,yes
Q141169187,Rosette Byengoma,"Ugandan civil servant and Permanent Secretary, Ministry of Defence and Veteran Affairs",Public service,permanent secretary,0,7,,,yes
Q140734638,Jemimah Buhanda Tumwijukye,Politician,Local government,Chairperson LC5,0,11,,,yes
