name,office,organisation,sector,rank,source_url,status,wikidata_qid,en_title,lg_title
Fatima Daniels,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Juliet K. Nsubuga,General Manager Wholesale and Carrier Services,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Karabo Nondumo,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Peace Kabatangare,General Manager Internal Audit and Forensics,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Sylvia ElSheikh,Chief Marketing Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Winnie T. Kiryabwire,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Jane Mwesigwa,Second Deputy Head of Public Service,Office of the Prime Minister,government,executive,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,absent,,,
Catherine Tumusiime,Chief Human Resources Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Samantha Muhwezi Kassami,Chief Operating Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Catherine Donovan Kyokunda,Commissioner Legal Services and Board Affairs,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/,possible_match,Q137926075,,
Diana Kisaka,Commissioner Tax Investigations,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/,absent,,,
Agnes Nabwire,Assistant Commissioner Tax Investigations,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Allen Nassanga,Assistant Commissioner Strategy and Research,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Barbara Zeija Atuhaire,Assistant Commissioner Finance,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Beatrice Muzaale,Assistant Commissioner Medium Tax Office and Public Sector Office,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Christine Mirembe,Assistant Commissioner Client Services,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Diana Prida Praff,Assistant Commissioner Litigation,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Fionah Akullo,"Assistant Commissioner Policy, Legislation, Advisory and Contracts",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Harriet Nantumbwe Mutumba,"Assistant Commissioner Integrity, Ethics and Compliance",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Irene Irumba Mbabazi,"Assistant Commissioner Service Management, Central",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Ishta Kyambadde,Assistant Commissioner Procurement and Disposal,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Julie Njuba,Assistant Commissioner Internal Audit,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Lydia Nsibambi Mulondo,Assistant Commissioner Human Resource,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Mwajumah Nakku Mubiru,Assistant Commissioner Alternative Dispute Resolution,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Myra Ochwo,"Assistant Commissioner Service Management, Upcountry",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Rose Wangwe,Assistant Commissioner Administration,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
Sheila Kyomugisha,Assistant Commissioner Trade,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/,absent,,,
